state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate
Benue,north central,skilled_birth,Skilled birth attendance,218,138,66.59,5.01,56.78,76.41,Report,66.6% (95% CI 56.8-76.4%),66.59,56.78,76.41,66.6% (95% CI 56.8-76.4%)
Benue,north central,facility_delivery,Health facility delivery,217,122,59.66,5.55,48.78,70.54,Report,59.7% (95% CI 48.8-70.5%),59.66,48.78,70.54,59.7% (95% CI 48.8-70.5%)
Benue,north central,mother_pnc_2days,Maternal PNC within 2 days,218,115,56.18,4.29,47.77,64.59,Report,56.2% (95% CI 47.8-64.6%),56.18,47.77,64.59,56.2% (95% CI 47.8-64.6%)
Benue,north central,newborn_pnc_2days,Newborn PNC within 2 days,218,118,56.73,3.6,49.68,63.77,Report,56.7% (95% CI 49.7-63.8%),56.73,49.68,63.77,56.7% (95% CI 49.7-63.8%)
Benue,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,218,104,50.96,3.75,43.61,58.3,Report,51.0% (95% CI 43.6-58.3%),50.96,43.61,58.3,51.0% (95% CI 43.6-58.3%)
Benue,north central,complete_continuum,Complete continuum,218,67,34.15,4.49,25.35,42.94,Report,34.1% (95% CI 25.4-42.9%),34.15,25.35,42.94,34.1% (95% CI 25.4-42.9%)
Borno,north east,anc_4plus,Four or more ANC contacts,347,204,61.1,4.11,53.04,69.16,Report,61.1% (95% CI 53.0-69.2%),61.1,53.04,69.16,61.1% (95% CI 53.0-69.2%)
Borno,north east,anc_8plus,Eight or more ANC contacts,347,16,5.02,1.51,2.06,7.98,Report,5.0% (95% CI 2.1-8.0%),5.02,2.06,7.98,5.0% (95% CI 2.1-8.0%)
Borno,north east,skilled_birth,Skilled birth attendance,347,124,36.66,3.65,29.5,43.81,Report,36.7% (95% CI 29.5-43.8%),36.66,29.5,43.81,36.7% (95% CI 29.5-43.8%)
Borno,north east,facility_delivery,Health facility delivery,347,143,43.71,5.14,33.63,53.78,Report,43.7% (95% CI 33.6-53.8%),43.71,33.63,53.78,43.7% (95% CI 33.6-53.8%)
Borno,north east,mother_pnc_2days,Maternal PNC within 2 days,347,153,47.47,4.02,39.59,55.36,Report,47.5% (95% CI 39.6-55.4%),47.47,39.59,55.36,47.5% (95% CI 39.6-55.4%)
Borno,north east,newborn_pnc_2days,Newborn PNC within 2 days,347,143,44.97,4.04,37.05,52.9,Report,45.0% (95% CI 37.0-52.9%),44.97,37.05,52.9,45.0% (95% CI 37.0-52.9%)
