state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate
Sokoto,north west,skilled_birth,Skilled birth attendance,441,55,12.41,3.06,6.42,18.41,Report,12.4% (95% CI 6.4-18.4%),12.41,6.42,18.41,12.4% (95% CI 6.4-18.4%)
Sokoto,north west,facility_delivery,Health facility delivery,441,55,12.44,3.05,6.46,18.43,Report,12.4% (95% CI 6.5-18.4%),12.44,6.46,18.43,12.4% (95% CI 6.5-18.4%)
Sokoto,north west,mother_pnc_2days,Maternal PNC within 2 days,441,51,11.57,2.85,5.98,17.17,Report,11.6% (95% CI 6.0-17.2%),11.57,5.98,17.17,11.6% (95% CI 6.0-17.2%)
Sokoto,north west,newborn_pnc_2days,Newborn PNC within 2 days,441,46,10.17,2.56,5.15,15.19,Report,10.2% (95% CI 5.2-15.2%),10.17,5.15,15.19,10.2% (95% CI 5.2-15.2%)
Sokoto,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,441,44,9.68,2.58,4.62,14.74,Report,9.7% (95% CI 4.6-14.7%),9.68,4.62,14.74,9.7% (95% CI 4.6-14.7%)
Sokoto,north west,complete_continuum,Complete continuum,441,28,6.17,2.05,2.16,10.18,Report,6.2% (95% CI 2.2-10.2%),6.17,2.16,10.18,6.2% (95% CI 2.2-10.2%)
Taraba,north east,anc_4plus,Four or more ANC contacts,268,138,50.55,5.2,40.35,60.74,Report,50.5% (95% CI 40.4-60.7%),50.55,40.35,60.74,50.5% (95% CI 40.4-60.7%)
Taraba,north east,anc_8plus,Eight or more ANC contacts,268,10,3.17,1.26,0.7,5.64,Report,3.2% (95% CI 0.7-5.6%),3.17,0.7,5.64,3.2% (95% CI 0.7-5.6%)
Taraba,north east,skilled_birth,Skilled birth attendance,268,88,34.02,5.68,22.89,45.15,Report,34.0% (95% CI 22.9-45.1%),34.02,22.89,45.15,34.0% (95% CI 22.9-45.1%)
Taraba,north east,facility_delivery,Health facility delivery,268,83,32.81,5.65,21.73,43.88,Report,32.8% (95% CI 21.7-43.9%),32.81,21.73,43.88,32.8% (95% CI 21.7-43.9%)
Taraba,north east,mother_pnc_2days,Maternal PNC within 2 days,268,79,34.41,4.01,26.56,42.27,Report,34.4% (95% CI 26.6-42.3%),34.41,26.56,42.27,34.4% (95% CI 26.6-42.3%)
Taraba,north east,newborn_pnc_2days,Newborn PNC within 2 days,268,77,32.29,3.85,24.76,39.83,Report,32.3% (95% CI 24.8-39.8%),32.29,24.76,39.83,32.3% (95% CI 24.8-39.8%)
Taraba,north east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,268,72,30.82,3.77,23.44,38.2,Report,30.8% (95% CI 23.4-38.2%),30.82,23.44,38.2,30.8% (95% CI 23.4-38.2%)
Taraba,north east,complete_continuum,Complete continuum,268,31,13.77,3.35,7.2,20.33,Report,13.8% (95% CI 7.2-20.3%),13.77,7.2,20.33,13.8% (95% CI 7.2-20.3%)
Yobe,north east,anc_4plus,Four or more ANC contacts,458,208,48.5,2.89,42.83,54.17,Report,48.5% (95% CI 42.8-54.2%),48.5,42.83,54.17,48.5% (95% CI 42.8-54.2%)
Yobe,north east,anc_8plus,Eight or more ANC contacts,458,17,3.6,1.31,1.03,6.17,Report,3.6% (95% CI 1.0-6.2%),3.6,1.03,6.17,3.6% (95% CI 1.0-6.2%)
Yobe,north east,skilled_birth,Skilled birth attendance,458,153,34.44,4.71,25.22,43.67,Report,34.4% (95% CI 25.2-43.7%),34.44,25.22,43.67,34.4% (95% CI 25.2-43.7%)
Yobe,north east,facility_delivery,Health facility delivery,456,135,31.65,3.24,25.3,38,Report,31.6% (95% CI 25.3-38.0%),31.65,25.3,38,31.6% (95% CI 25.3-38.0%)
Yobe,north east,mother_pnc_2days,Maternal PNC within 2 days,458,154,33.89,4.3,25.47,42.32,Report,33.9% (95% CI 25.5-42.3%),33.89,25.47,42.32,33.9% (95% CI 25.5-42.3%)
Yobe,north east,newborn_pnc_2days,Newborn PNC within 2 days,458,144,32.34,4.33,23.86,40.83,Report,32.3% (95% CI 23.9-40.8%),32.34,23.86,40.83,32.3% (95% CI 23.9-40.8%)
Yobe,north east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,458,134,29.06,4.78,19.7,38.42,Report,29.1% (95% CI 19.7-38.4%),29.06,19.7,38.42,29.1% (95% CI 19.7-38.4%)
Yobe,north east,complete_continuum,Complete continuum,458,70,15.68,3.52,8.78,22.58,Report,15.7% (95% CI 8.8-22.6%),15.68,8.78,22.58,15.7% (95% CI 8.8-22.6%)
Zamfara,north west,anc_4plus,Four or more ANC contacts,292,62,21.46,4.63,12.39,30.53,Report,21.5% (95% CI 12.4-30.5%),21.46,12.39,30.53,21.5% (95% CI 12.4-30.5%)
Zamfara,north west,anc_8plus,Eight or more ANC contacts,292,0,0,0,0,0,Report,0.0% (95% CI 0.0-0.0%),0,0,0,0.0% (95% CI 0.0-0.0%)
Zamfara,north west,skilled_birth,Skilled birth attendance,292,38,12.36,4.05,4.42,20.3,Report,12.4% (95% CI 4.4-20.3%),12.36,4.42,20.3,12.4% (95% CI 4.4-20.3%)
Zamfara,north west,facility_delivery,Health facility delivery,292,44,14.58,3.88,6.97,22.19,Report,14.6% (95% CI 7.0-22.2%),14.58,6.97,22.19,14.6% (95% CI 7.0-22.2%)
Zamfara,north west,mother_pnc_2days,Maternal PNC within 2 days,292,53,18.08,3.44,11.33,24.83,Report,18.1% (95% CI 11.3-24.8%),18.08,11.33,24.83,18.1% (95% CI 11.3-24.8%)
Zamfara,north west,newborn_pnc_2days,Newborn PNC within 2 days,292,59,18.05,3.15,11.89,24.22,Report,18.1% (95% CI 11.9-24.2%),18.05,11.89,24.22,18.1% (95% CI 11.9-24.2%)
Zamfara,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,292,36,10.97,2.13,6.8,15.14,Report,11.0% (95% CI 6.8-15.1%),10.97,6.8,15.14,11.0% (95% CI 6.8-15.1%)
Zamfara,north west,complete_continuum,Complete continuum,292,20,6.4,2.03,2.42,10.37,Report,6.4% (95% CI 2.4-10.4%),6.4,2.42,10.37,6.4% (95% CI 2.4-10.4%)
