variable,raw_value,display_value,n,percent
v005,742580,742580,27,0.1501167574780385
v005,785169,785169,27,0.1501167574780385
v005,794233,794233,27,0.1501167574780385
v005,870950,870950,27,0.1501167574780385
v005,920323,920323,27,0.1501167574780385
v005,1044495,1044495,26,0.14455687757144448
v005,1282221,1282221,26,0.14455687757144448
v005,129968,129968,26,0.14455687757144448
v005,1319107,1319107,26,0.14455687757144448
v005,1335223,1335223,26,0.14455687757144448
v005,1440434,1440434,26,0.14455687757144448
v005,1491047,1491047,26,0.14455687757144448
v005,321772,321772,26,0.14455687757144448
v005,375282,375282,26,0.14455687757144448
v005,459070,459070,26,0.14455687757144448
v005,476125,476125,26,0.14455687757144448
v005,489864,489864,26,0.14455687757144448
v005,551494,551494,26,0.14455687757144448
v005,722081,722081,26,0.14455687757144448
v005,736656,736656,26,0.14455687757144448
v005,761564,761564,26,0.14455687757144448
v005,784839,784839,26,0.14455687757144448
v005,813333,813333,26,0.14455687757144448
v005,834122,834122,26,0.14455687757144448
v005,839849,839849,26,0.14455687757144448
v005,977805,977805,26,0.14455687757144448
v005,1025284,1025284,25,0.13899699766485044
v005,1110082,1110082,25,0.13899699766485044
v005,1200805,1200805,25,0.13899699766485044
v005,1350747,1350747,25,0.13899699766485044
v005,1352936,1352936,25,0.13899699766485044
v005,1443320,1443320,25,0.13899699766485044
v005,1575111,1575111,25,0.13899699766485044
v005,1652512,1652512,25,0.13899699766485044
v005,2425066,2425066,25,0.13899699766485044
v005,2577399,2577399,25,0.13899699766485044
v005,2794766,2794766,25,0.13899699766485044
v005,2843225,2843225,25,0.13899699766485044
v005,288726,288726,25,0.13899699766485044
v005,365822,365822,25,0.13899699766485044
v005,374104,374104,25,0.13899699766485044
v005,463418,463418,25,0.13899699766485044
v005,656470,656470,25,0.13899699766485044
v005,739605,739605,25,0.13899699766485044
v005,773421,773421,25,0.13899699766485044
v005,776442,776442,25,0.13899699766485044
v005,867484,867484,25,0.13899699766485044
v005,943030,943030,25,0.13899699766485044
v005,1021380,1021380,24,0.13343711775825642
v005,1029438,1029438,24,0.13343711775825642
v005,1089722,1089722,24,0.13343711775825642
v005,1368671,1368671,24,0.13343711775825642
v005,1444550,1444550,24,0.13343711775825642
v005,1515474,1515474,24,0.13343711775825642
v005,1718262,1718262,24,0.13343711775825642
v005,1975645,1975645,24,0.13343711775825642
v005,1999103,1999103,24,0.13343711775825642
v005,2669148,2669148,24,0.13343711775825642
v005,517991,517991,24,0.13343711775825642
v005,523385,523385,24,0.13343711775825642
v005,533638,533638,24,0.13343711775825642
v005,536628,536628,24,0.13343711775825642
v005,5455941,5455941,24,0.13343711775825642
v005,634042,634042,24,0.13343711775825642
v005,711080,711080,24,0.13343711775825642
v005,747027,747027,24,0.13343711775825642
v005,793524,793524,24,0.13343711775825642
v005,1016727,1016727,23,0.1278772378516624
v005,1110911,1110911,23,0.1278772378516624
v005,129522,129522,23,0.1278772378516624
v005,1423389,1423389,23,0.1278772378516624
v005,1477901,1477901,23,0.1278772378516624
v005,1567135,1567135,23,0.1278772378516624
v005,1643829,1643829,23,0.1278772378516624
v005,1650050,1650050,23,0.1278772378516624
v005,1738597,1738597,23,0.1278772378516624
v005,2078975,2078975,23,0.1278772378516624
v005,2091735,2091735,23,0.1278772378516624
v005,217294,217294,23,0.1278772378516624
v005,2215871,2215871,23,0.1278772378516624
v005,2613932,2613932,23,0.1278772378516624
v005,333600,333600,23,0.1278772378516624
v005,437495,437495,23,0.1278772378516624
v005,467615,467615,23,0.1278772378516624
v005,571469,571469,23,0.1278772378516624
v005,576512,576512,23,0.1278772378516624
v005,606707,606707,23,0.1278772378516624
v005,629169,629169,23,0.1278772378516624
v005,729748,729748,23,0.1278772378516624
v005,782434,782434,23,0.1278772378516624
v005,811136,811136,23,0.1278772378516624
v005,874307,874307,23,0.1278772378516624
v005,975131,975131,23,0.1278772378516624
v005,990516,990516,23,0.1278772378516624
v005,1001782,1001782,22,0.12231735794506837
v005,1030662,1030662,22,0.12231735794506837
v005,1359957,1359957,22,0.12231735794506837
v005,1383987,1383987,22,0.12231735794506837
v005,1485971,1485971,22,0.12231735794506837
v005,1663685,1663685,22,0.12231735794506837
v005,1699475,1699475,22,0.12231735794506837
v005,1750095,1750095,22,0.12231735794506837
v005,1842282,1842282,22,0.12231735794506837
v005,1846234,1846234,22,0.12231735794506837
v005,1996140,1996140,22,0.12231735794506837
v005,203277,203277,22,0.12231735794506837
v005,3075801,3075801,22,0.12231735794506837
v005,316201,316201,22,0.12231735794506837
v005,564494,564494,22,0.12231735794506837
v005,597842,597842,22,0.12231735794506837
v005,619705,619705,22,0.12231735794506837
v005,628181,628181,22,0.12231735794506837
v005,662482,662482,22,0.12231735794506837
v005,681635,681635,22,0.12231735794506837
v005,754490,754490,22,0.12231735794506837
v005,760990,760990,22,0.12231735794506837
v005,773866,773866,22,0.12231735794506837
v005,847201,847201,22,0.12231735794506837
v005,858838,858838,22,0.12231735794506837
v005,868374,868374,22,0.12231735794506837
v005,911357,911357,22,0.12231735794506837
v005,1061845,1061845,21,0.11675747803847436
v005,1098006,1098006,21,0.11675747803847436
v005,1114689,1114689,21,0.11675747803847436
v005,1154607,1154607,21,0.11675747803847436
v005,1169265,1169265,21,0.11675747803847436
v005,1170371,1170371,21,0.11675747803847436
v005,1224566,1224566,21,0.11675747803847436
v005,1334703,1334703,21,0.11675747803847436
v005,1560485,1560485,21,0.11675747803847436
v005,1737995,1737995,21,0.11675747803847436
v005,1841994,1841994,21,0.11675747803847436
v005,1960399,1960399,21,0.11675747803847436
v005,2696401,2696401,21,0.11675747803847436
v005,282681,282681,21,0.11675747803847436
v005,436820,436820,21,0.11675747803847436
v005,625091,625091,21,0.11675747803847436
v005,710810,710810,21,0.11675747803847436
v005,748712,748712,21,0.11675747803847436
v005,825850,825850,21,0.11675747803847436
v005,826584,826584,21,0.11675747803847436
v005,854778,854778,21,0.11675747803847436
v005,870340,870340,21,0.11675747803847436
v005,900499,900499,21,0.11675747803847436
v005,911916,911916,21,0.11675747803847436
v005,974717,974717,21,0.11675747803847436
v005,1010523,1010523,20,0.11119759813188035
v005,1041018,1041018,20,0.11119759813188035
v005,1053900,1053900,20,0.11119759813188035
v005,1171718,1171718,20,0.11119759813188035
v005,1182400,1182400,20,0.11119759813188035
v005,126755,126755,20,0.11119759813188035
v005,1303174,1303174,20,0.11119759813188035
v005,1321885,1321885,20,0.11119759813188035
v005,1451122,1451122,20,0.11119759813188035
v005,1489806,1489806,20,0.11119759813188035
v005,1848390,1848390,20,0.11119759813188035
v005,1878476,1878476,20,0.11119759813188035
v005,1902171,1902171,20,0.11119759813188035
v005,2078338,2078338,20,0.11119759813188035
v005,2211002,2211002,20,0.11119759813188035
v005,228219,228219,20,0.11119759813188035
v005,2296666,2296666,20,0.11119759813188035
v005,287695,287695,20,0.11119759813188035
v005,364924,364924,20,0.11119759813188035
v005,467782,467782,20,0.11119759813188035
v005,504095,504095,20,0.11119759813188035
v005,510277,510277,20,0.11119759813188035
v005,535621,535621,20,0.11119759813188035
v005,568592,568592,20,0.11119759813188035
v005,572155,572155,20,0.11119759813188035
v005,585871,585871,20,0.11119759813188035
v005,619826,619826,20,0.11119759813188035
v005,649871,649871,20,0.11119759813188035
v005,703626,703626,20,0.11119759813188035
v005,756193,756193,20,0.11119759813188035
v005,834055,834055,20,0.11119759813188035
v005,870304,870304,20,0.11119759813188035
v005,874884,874884,20,0.11119759813188035
v005,929782,929782,20,0.11119759813188035
v005,952460,952460,20,0.11119759813188035
v005,978228,978228,20,0.11119759813188035
v005,981418,981418,20,0.11119759813188035
v005,1032299,1032299,19,0.10563771822528632
v005,1101147,1101147,19,0.10563771822528632
v005,1115841,1115841,19,0.10563771822528632
v005,1179908,1179908,19,0.10563771822528632
v005,1193923,1193923,19,0.10563771822528632
v005,1369507,1369507,19,0.10563771822528632
v005,1523907,1523907,19,0.10563771822528632
v005,1959124,1959124,19,0.10563771822528632
v005,2199749,2199749,19,0.10563771822528632
v005,2227195,2227195,19,0.10563771822528632
v005,2233708,2233708,19,0.10563771822528632
v005,2424828,2424828,19,0.10563771822528632
v005,2457618,2457618,19,0.10563771822528632
v005,2575556,2575556,19,0.10563771822528632
v005,2612425,2612425,19,0.10563771822528632
v005,2997454,2997454,19,0.10563771822528632
v005,389374,389374,19,0.10563771822528632
v005,397779,397779,19,0.10563771822528632
v005,4158246,4158246,19,0.10563771822528632
v005,417202,417202,19,0.10563771822528632
v005,431336,431336,19,0.10563771822528632
v005,458245,458245,19,0.10563771822528632
v005,471825,471825,19,0.10563771822528632
v005,525776,525776,19,0.10563771822528632
v005,582079,582079,19,0.10563771822528632
v005,589273,589273,19,0.10563771822528632
v005,597223,597223,19,0.10563771822528632
v005,610933,610933,19,0.10563771822528632
v005,650789,650789,19,0.10563771822528632
v005,707133,707133,19,0.10563771822528632
v005,722421,722421,19,0.10563771822528632
v005,748604,748604,19,0.10563771822528632
v005,749570,749570,19,0.10563771822528632
v005,775424,775424,19,0.10563771822528632
v005,777099,777099,19,0.10563771822528632
v005,787516,787516,19,0.10563771822528632
v005,832924,832924,19,0.10563771822528632
v005,840070,840070,19,0.10563771822528632
v005,878784,878784,19,0.10563771822528632
v005,898569,898569,19,0.10563771822528632
v005,909046,909046,19,0.10563771822528632
v005,935745,935745,19,0.10563771822528632
v005,936136,936136,19,0.10563771822528632
v005,938869,938869,19,0.10563771822528632
v005,948200,948200,19,0.10563771822528632
v005,1117445,1117445,18,0.10007783831869231
v005,1125555,1125555,18,0.10007783831869231
v005,1134162,1134162,18,0.10007783831869231
v005,1277520,1277520,18,0.10007783831869231
v005,1295861,1295861,18,0.10007783831869231
v005,1298233,1298233,18,0.10007783831869231
v005,1643501,1643501,18,0.10007783831869231
v005,1733336,1733336,18,0.10007783831869231
v005,1769494,1769494,18,0.10007783831869231
v005,1806429,1806429,18,0.10007783831869231
v005,1810248,1810248,18,0.10007783831869231
v005,289457,289457,18,0.10007783831869231
v005,320507,320507,18,0.10007783831869231
v005,4080482,4080482,18,0.10007783831869231
v005,492979,492979,18,0.10007783831869231
v005,501912,501912,18,0.10007783831869231
v005,528223,528223,18,0.10007783831869231
v005,528626,528626,18,0.10007783831869231
v005,548172,548172,18,0.10007783831869231
v005,549288,549288,18,0.10007783831869231
v005,553406,553406,18,0.10007783831869231
v005,575034,575034,18,0.10007783831869231
v005,658253,658253,18,0.10007783831869231
v005,722084,722084,18,0.10007783831869231
v005,745341,745341,18,0.10007783831869231
v005,753704,753704,18,0.10007783831869231
v005,783613,783613,18,0.10007783831869231
v005,798177,798177,18,0.10007783831869231
v005,816786,816786,18,0.10007783831869231
v005,834193,834193,18,0.10007783831869231
v005,901485,901485,18,0.10007783831869231
v005,919344,919344,18,0.10007783831869231
v005,951152,951152,18,0.10007783831869231
v005,973439,973439,18,0.10007783831869231
v005,995250,995250,18,0.10007783831869231
v005,1044493,1044493,17,0.0945179584120983
v005,1061740,1061740,17,0.0945179584120983
v005,1161156,1161156,17,0.0945179584120983
v005,1173677,1173677,17,0.0945179584120983
v005,1218916,1218916,17,0.0945179584120983
v005,1289712,1289712,17,0.0945179584120983
v005,1454995,1454995,17,0.0945179584120983
v005,1492750,1492750,17,0.0945179584120983
v005,1612486,1612486,17,0.0945179584120983
v005,1749096,1749096,17,0.0945179584120983
v005,1752688,1752688,17,0.0945179584120983
v005,1799192,1799192,17,0.0945179584120983
v005,1846626,1846626,17,0.0945179584120983
v005,1934814,1934814,17,0.0945179584120983
v005,1987359,1987359,17,0.0945179584120983
v005,2012307,2012307,17,0.0945179584120983
v005,2056993,2056993,17,0.0945179584120983
v005,2388019,2388019,17,0.0945179584120983
v005,261352,261352,17,0.0945179584120983
v005,2880920,2880920,17,0.0945179584120983
v005,2922035,2922035,17,0.0945179584120983
v005,3003899,3003899,17,0.0945179584120983
v005,321522,321522,17,0.0945179584120983
v005,336459,336459,17,0.0945179584120983
v005,342720,342720,17,0.0945179584120983
v005,429208,429208,17,0.0945179584120983
v005,487936,487936,17,0.0945179584120983
v005,502262,502262,17,0.0945179584120983
v005,504998,504998,17,0.0945179584120983
v005,518187,518187,17,0.0945179584120983
v005,556220,556220,17,0.0945179584120983
v005,574841,574841,17,0.0945179584120983
v005,632949,632949,17,0.0945179584120983
v005,635717,635717,17,0.0945179584120983
v005,659096,659096,17,0.0945179584120983
v005,694156,694156,17,0.0945179584120983
v005,726048,726048,17,0.0945179584120983
v005,745613,745613,17,0.0945179584120983
v005,787273,787273,17,0.0945179584120983
v005,809734,809734,17,0.0945179584120983
v005,822239,822239,17,0.0945179584120983
v005,852427,852427,17,0.0945179584120983
v005,869804,869804,17,0.0945179584120983
v005,1007232,1007232,16,0.08895807850550429
v005,1020513,1020513,16,0.08895807850550429
v005,1023453,1023453,16,0.08895807850550429
v005,1073640,1073640,16,0.08895807850550429
v005,1081981,1081981,16,0.08895807850550429
v005,1175215,1175215,16,0.08895807850550429
v005,1202602,1202602,16,0.08895807850550429
v005,1254281,1254281,16,0.08895807850550429
v005,1255642,1255642,16,0.08895807850550429
v005,1257542,1257542,16,0.08895807850550429
v005,1345571,1345571,16,0.08895807850550429
v005,1355770,1355770,16,0.08895807850550429
v005,1383506,1383506,16,0.08895807850550429
v005,1394316,1394316,16,0.08895807850550429
v005,1519251,1519251,16,0.08895807850550429
v005,1804174,1804174,16,0.08895807850550429
v005,1859878,1859878,16,0.08895807850550429
v005,1928714,1928714,16,0.08895807850550429
v005,2063035,2063035,16,0.08895807850550429
v005,207164,207164,16,0.08895807850550429
v005,2186175,2186175,16,0.08895807850550429
v005,247556,247556,16,0.08895807850550429
v005,251652,251652,16,0.08895807850550429
v005,2605717,2605717,16,0.08895807850550429
v005,2706898,2706898,16,0.08895807850550429
v005,3010606,3010606,16,0.08895807850550429
v005,347029,347029,16,0.08895807850550429
v005,366039,366039,16,0.08895807850550429
v005,373963,373963,16,0.08895807850550429
v005,383645,383645,16,0.08895807850550429
v005,398839,398839,16,0.08895807850550429
v005,433428,433428,16,0.08895807850550429
v005,455667,455667,16,0.08895807850550429
v005,460272,460272,16,0.08895807850550429
v005,494466,494466,16,0.08895807850550429
v005,520270,520270,16,0.08895807850550429
v005,524658,524658,16,0.08895807850550429
v005,527067,527067,16,0.08895807850550429
v005,549710,549710,16,0.08895807850550429
v005,554305,554305,16,0.08895807850550429
v005,557199,557199,16,0.08895807850550429
v005,564244,564244,16,0.08895807850550429
v005,565538,565538,16,0.08895807850550429
v005,581742,581742,16,0.08895807850550429
v005,585186,585186,16,0.08895807850550429
v005,593556,593556,16,0.08895807850550429
v005,618135,618135,16,0.08895807850550429
v005,647188,647188,16,0.08895807850550429
v005,663089,663089,16,0.08895807850550429
v005,663282,663282,16,0.08895807850550429
v005,667676,667676,16,0.08895807850550429
v005,695872,695872,16,0.08895807850550429
v005,707911,707911,16,0.08895807850550429
v005,829745,829745,16,0.08895807850550429
v005,847006,847006,16,0.08895807850550429
v005,878079,878079,16,0.08895807850550429
v005,932498,932498,16,0.08895807850550429
v005,943356,943356,16,0.08895807850550429
v005,979880,979880,16,0.08895807850550429
v005,1166765,1166765,15,0.08339819859891026
v005,1282625,1282625,15,0.08339819859891026
