state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate,national_percent,state_rank,best_state_percent,worst_state_percent,gap_from_best_pp,difference_from_national_pp
Plateau,north central,anc_8plus,Eight or more ANC contacts,328,30,8.93,1.91,5.19,12.67,Report,8.9% (95% CI 5.2-12.7%),8.93,5.19,12.67,8.9% (95% CI 5.2-12.7%),16.78,23,87.57,0,78.64,-7.85
Kano,north west,anc_8plus,Eight or more ANC contacts,566,36,6.69,2,2.77,10.61,Report,6.7% (95% CI 2.8-10.6%),6.69,2.77,10.61,6.7% (95% CI 2.8-10.6%),16.78,24,87.57,0,80.88,-10.09
Benue,north central,anc_8plus,Eight or more ANC contacts,218,12,6.02,1.97,2.17,9.88,Report,6.0% (95% CI 2.2-9.9%),6.02,2.17,9.88,6.0% (95% CI 2.2-9.9%),16.78,25,87.57,0,81.55,-10.76
Bauchi,north east,anc_8plus,Eight or more ANC contacts,454,26,5.2,1.24,2.76,7.64,Report,5.2% (95% CI 2.8-7.6%),5.2,2.76,7.64,5.2% (95% CI 2.8-7.6%),16.78,26,87.57,0,82.37,-11.58
Borno,north east,anc_8plus,Eight or more ANC contacts,347,16,5.02,1.51,2.06,7.98,Report,5.0% (95% CI 2.1-8.0%),5.02,2.06,7.98,5.0% (95% CI 2.1-8.0%),16.78,27,87.57,0,82.55,-11.76
Sokoto,north west,anc_8plus,Eight or more ANC contacts,441,18,4.08,1.27,1.6,6.56,Report,4.1% (95% CI 1.6-6.6%),4.08,1.6,6.56,4.1% (95% CI 1.6-6.6%),16.78,28,87.57,0,83.49,-12.7
Yobe,north east,anc_8plus,Eight or more ANC contacts,458,17,3.6,1.31,1.03,6.17,Report,3.6% (95% CI 1.0-6.2%),3.6,1.03,6.17,3.6% (95% CI 1.0-6.2%),16.78,29,87.57,0,83.97,-13.18
Niger,north central,anc_8plus,Eight or more ANC contacts,368,16,3.23,1.04,1.21,5.26,Report,3.2% (95% CI 1.2-5.3%),3.23,1.21,5.26,3.2% (95% CI 1.2-5.3%),16.78,30,87.57,0,84.34,-13.55
Taraba,north east,anc_8plus,Eight or more ANC contacts,268,10,3.17,1.26,0.7,5.64,Report,3.2% (95% CI 0.7-5.6%),3.17,0.7,5.64,3.2% (95% CI 0.7-5.6%),16.78,31,87.57,0,84.4,-13.61
Katsina,north west,anc_8plus,Eight or more ANC contacts,419,10,3.14,1.02,1.14,5.13,Report,3.1% (95% CI 1.1-5.1%),3.14,1.14,5.13,3.1% (95% CI 1.1-5.1%),16.78,32,87.57,0,84.43,-13.64
