state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate,national_percent,state_rank,best_state_percent,worst_state_percent,gap_from_best_pp,difference_from_national_pp
Kebbi,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,504,57,9.97,1.85,6.34,13.59,Report,10.0% (95% CI 6.3-13.6%),9.97,6.34,13.59,10.0% (95% CI 6.3-13.6%),38.14,36,83.21,9.68,73.24,-28.17
Sokoto,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,441,44,9.68,2.58,4.62,14.74,Report,9.7% (95% CI 4.6-14.7%),9.68,4.62,14.74,9.7% (95% CI 4.6-14.7%),38.14,37,83.21,9.68,73.53,-28.46
Edo,south south,newborn_pnc_2days,Newborn PNC within 2 days,158,138,86.82,3.38,80.2,93.44,Report,86.8% (95% CI 80.2-93.4%),86.82,80.2,93.44,86.8% (95% CI 80.2-93.4%),42.27,1,86.82,10.17,0,44.55
Federal Capital Territory,north central,newborn_pnc_2days,Newborn PNC within 2 days,167,143,86.71,4.21,78.47,94.96,Report,86.7% (95% CI 78.5-95.0%),86.71,78.47,94.96,86.7% (95% CI 78.5-95.0%),42.27,2,86.82,10.17,0.11,44.44
Lagos,south west,newborn_pnc_2days,Newborn PNC within 2 days,177,150,86.47,2.63,81.31,91.63,Report,86.5% (95% CI 81.3-91.6%),86.47,81.31,91.63,86.5% (95% CI 81.3-91.6%),42.27,3,86.82,10.17,0.35,44.2
Ogun,south west,newborn_pnc_2days,Newborn PNC within 2 days,206,171,81.72,3.49,74.88,88.55,Report,81.7% (95% CI 74.9-88.5%),81.72,74.88,88.55,81.7% (95% CI 74.9-88.5%),42.27,4,86.82,10.17,5.1,39.45
Ekiti,south west,newborn_pnc_2days,Newborn PNC within 2 days,111,87,78.39,4.1,70.35,86.44,Report,78.4% (95% CI 70.3-86.4%),78.39,70.35,86.44,78.4% (95% CI 70.3-86.4%),42.27,5,86.82,10.17,8.43,36.12
Osun,south west,newborn_pnc_2days,Newborn PNC within 2 days,149,117,76.5,3.47,69.69,83.32,Report,76.5% (95% CI 69.7-83.3%),76.5,69.69,83.32,76.5% (95% CI 69.7-83.3%),42.27,6,86.82,10.17,10.32,34.23
Cross River,south south,newborn_pnc_2days,Newborn PNC within 2 days,148,113,76.41,5,66.61,86.21,Report,76.4% (95% CI 66.6-86.2%),76.41,66.61,86.21,76.4% (95% CI 66.6-86.2%),42.27,7,86.82,10.17,10.41,34.14
Ondo,south west,newborn_pnc_2days,Newborn PNC within 2 days,134,94,73.49,5.38,62.95,84.03,Report,73.5% (95% CI 63.0-84.0%),73.49,62.95,84.03,73.5% (95% CI 63.0-84.0%),42.27,8,86.82,10.17,13.33,31.22
Delta,south south,newborn_pnc_2days,Newborn PNC within 2 days,205,144,72.38,4.2,64.15,80.61,Report,72.4% (95% CI 64.2-80.6%),72.38,64.15,80.61,72.4% (95% CI 64.2-80.6%),42.27,9,86.82,10.17,14.44,30.11
Oyo,south west,newborn_pnc_2days,Newborn PNC within 2 days,215,158,71.45,4.56,62.52,80.39,Report,71.5% (95% CI 62.5-80.4%),71.45,62.52,80.39,71.5% (95% CI 62.5-80.4%),42.27,10,86.82,10.17,15.37,29.18
Anambra,south east,newborn_pnc_2days,Newborn PNC within 2 days,213,151,70.87,3.27,64.45,77.28,Report,70.9% (95% CI 64.5-77.3%),70.87,64.45,77.28,70.9% (95% CI 64.5-77.3%),42.27,11,86.82,10.17,15.95,28.6
Akwa Ibom,south south,newborn_pnc_2days,Newborn PNC within 2 days,149,101,69.17,3.52,62.28,76.06,Report,69.2% (95% CI 62.3-76.1%),69.17,62.28,76.06,69.2% (95% CI 62.3-76.1%),42.27,12,86.82,10.17,17.65,26.9
Abia,south east,newborn_pnc_2days,Newborn PNC within 2 days,154,103,65.9,3.91,58.24,73.56,Report,65.9% (95% CI 58.2-73.6%),65.9,58.24,73.56,65.9% (95% CI 58.2-73.6%),42.27,13,86.82,10.17,20.92,23.63
Nasarawa,north central,newborn_pnc_2days,Newborn PNC within 2 days,294,186,65.23,3.82,57.74,72.73,Report,65.2% (95% CI 57.7-72.7%),65.23,57.74,72.73,65.2% (95% CI 57.7-72.7%),42.27,14,86.82,10.17,21.59,22.96
Enugu,south east,newborn_pnc_2days,Newborn PNC within 2 days,156,102,62.51,6.19,50.38,74.64,Report,62.5% (95% CI 50.4-74.6%),62.51,50.38,74.64,62.5% (95% CI 50.4-74.6%),42.27,15,86.82,10.17,24.31,20.24
Imo,south east,newborn_pnc_2days,Newborn PNC within 2 days,238,141,59.52,4.82,50.07,68.98,Report,59.5% (95% CI 50.1-69.0%),59.52,50.07,68.98,59.5% (95% CI 50.1-69.0%),42.27,16,86.82,10.17,27.3,17.25
Adamawa,north east,newborn_pnc_2days,Newborn PNC within 2 days,351,198,58.91,3.38,52.28,65.54,Report,58.9% (95% CI 52.3-65.5%),58.91,52.28,65.54,58.9% (95% CI 52.3-65.5%),42.27,17,86.82,10.17,27.91,16.64
Kwara,north central,newborn_pnc_2days,Newborn PNC within 2 days,227,132,58.13,5.58,47.19,69.07,Report,58.1% (95% CI 47.2-69.1%),58.13,47.19,69.07,58.1% (95% CI 47.2-69.1%),42.27,18,86.82,10.17,28.69,15.86
Benue,north central,newborn_pnc_2days,Newborn PNC within 2 days,218,118,56.73,3.6,49.68,63.77,Report,56.7% (95% CI 49.7-63.8%),56.73,49.68,63.77,56.7% (95% CI 49.7-63.8%),42.27,19,86.82,10.17,30.09,14.46
Ebonyi,south east,newborn_pnc_2days,Newborn PNC within 2 days,332,188,56.2,3.13,50.07,62.33,Report,56.2% (95% CI 50.1-62.3%),56.2,50.07,62.33,56.2% (95% CI 50.1-62.3%),42.27,20,86.82,10.17,30.62,13.93
Kogi,north central,newborn_pnc_2days,Newborn PNC within 2 days,270,152,55.33,5.02,45.49,65.17,Report,55.3% (95% CI 45.5-65.2%),55.33,45.49,65.17,55.3% (95% CI 45.5-65.2%),42.27,21,86.82,10.17,31.49,13.06
Rivers,south south,newborn_pnc_2days,Newborn PNC within 2 days,196,107,54.19,4.28,45.81,62.57,Report,54.2% (95% CI 45.8-62.6%),54.19,45.81,62.57,54.2% (95% CI 45.8-62.6%),42.27,22,86.82,10.17,32.63,11.92
Plateau,north central,newborn_pnc_2days,Newborn PNC within 2 days,336,170,52.88,4.37,44.31,61.44,Report,52.9% (95% CI 44.3-61.4%),52.88,44.31,61.44,52.9% (95% CI 44.3-61.4%),42.27,23,86.82,10.17,33.94,10.61
Gombe,north east,newborn_pnc_2days,Newborn PNC within 2 days,391,170,46.49,4.84,37.02,55.97,Report,46.5% (95% CI 37.0-56.0%),46.49,37.02,55.97,46.5% (95% CI 37.0-56.0%),42.27,24,86.82,10.17,40.33,4.22
Borno,north east,newborn_pnc_2days,Newborn PNC within 2 days,347,143,44.97,4.04,37.05,52.9,Report,45.0% (95% CI 37.0-52.9%),44.97,37.05,52.9,45.0% (95% CI 37.0-52.9%),42.27,25,86.82,10.17,41.85,2.7
Jigawa,north west,newborn_pnc_2days,Newborn PNC within 2 days,523,223,41.4,2.88,35.76,47.03,Report,41.4% (95% CI 35.8-47.0%),41.4,35.76,47.03,41.4% (95% CI 35.8-47.0%),42.27,26,86.82,10.17,45.42,-0.87
Bayelsa,south south,newborn_pnc_2days,Newborn PNC within 2 days,171,62,41.18,6.02,29.38,52.97,Report,41.2% (95% CI 29.4-53.0%),41.18,29.38,52.97,41.2% (95% CI 29.4-53.0%),42.27,27,86.82,10.17,45.64,-1.09
Niger,north central,newborn_pnc_2days,Newborn PNC within 2 days,368,138,35.24,3.3,28.78,41.7,Report,35.2% (95% CI 28.8-41.7%),35.24,28.78,41.7,35.2% (95% CI 28.8-41.7%),42.27,28,86.82,10.17,51.58,-7.03
Yobe,north east,newborn_pnc_2days,Newborn PNC within 2 days,458,144,32.34,4.33,23.86,40.83,Report,32.3% (95% CI 23.9-40.8%),32.34,23.86,40.83,32.3% (95% CI 23.9-40.8%),42.27,29,86.82,10.17,54.48,-9.93
Taraba,north east,newborn_pnc_2days,Newborn PNC within 2 days,268,77,32.29,3.85,24.76,39.83,Report,32.3% (95% CI 24.8-39.8%),32.29,24.76,39.83,32.3% (95% CI 24.8-39.8%),42.27,30,86.82,10.17,54.53,-9.98
Kano,north west,newborn_pnc_2days,Newborn PNC within 2 days,575,169,30.07,2.82,24.55,35.59,Report,30.1% (95% CI 24.6-35.6%),30.07,24.55,35.59,30.1% (95% CI 24.6-35.6%),42.27,31,86.82,10.17,56.75,-12.2
Kaduna,north west,newborn_pnc_2days,Newborn PNC within 2 days,504,125,23.57,3.49,16.73,30.41,Report,23.6% (95% CI 16.7-30.4%),23.57,16.73,30.41,23.6% (95% CI 16.7-30.4%),42.27,32,86.82,10.17,63.25,-18.7
Bauchi,north east,newborn_pnc_2days,Newborn PNC within 2 days,456,86,20.1,3.19,13.85,26.35,Report,20.1% (95% CI 13.8-26.4%),20.1,13.85,26.35,20.1% (95% CI 13.8-26.4%),42.27,33,86.82,10.17,66.72,-22.17
Zamfara,north west,newborn_pnc_2days,Newborn PNC within 2 days,292,59,18.05,3.15,11.89,24.22,Report,18.1% (95% CI 11.9-24.2%),18.05,11.89,24.22,18.1% (95% CI 11.9-24.2%),42.27,34,86.82,10.17,68.77,-24.22
Katsina,north west,newborn_pnc_2days,Newborn PNC within 2 days,420,77,17.47,2.05,13.45,21.49,Report,17.5% (95% CI 13.4-21.5%),17.47,13.45,21.49,17.5% (95% CI 13.4-21.5%),42.27,35,86.82,10.17,69.35,-24.8
Kebbi,north west,newborn_pnc_2days,Newborn PNC within 2 days,504,82,14.17,2.13,9.99,18.35,Report,14.2% (95% CI 10.0-18.4%),14.17,9.99,18.35,14.2% (95% CI 10.0-18.4%),42.27,36,86.82,10.17,72.65,-28.1
Sokoto,north west,newborn_pnc_2days,Newborn PNC within 2 days,441,46,10.17,2.56,5.15,15.19,Report,10.2% (95% CI 5.2-15.2%),10.17,5.15,15.19,10.2% (95% CI 5.2-15.2%),42.27,37,86.82,10.17,76.65,-32.1
Imo,south east,skilled_birth,Skilled birth attendance,238,231,97.32,1.32,94.73,99.9,Report,97.3% (95% CI 94.7-99.9%),97.32,94.73,99.9,97.3% (95% CI 94.7-99.9%),45.09,1,97.32,9.81,0,52.23
Enugu,south east,skilled_birth,Skilled birth attendance,156,152,96.7,1.57,93.63,99.77,Report,96.7% (95% CI 93.6-99.8%),96.7,93.63,99.77,96.7% (95% CI 93.6-99.8%),45.09,2,97.32,9.81,0.62,51.61
Abia,south east,skilled_birth,Skilled birth attendance,154,145,94.8,1.65,91.56,98.04,Report,94.8% (95% CI 91.6-98.0%),94.8,91.56,98.04,94.8% (95% CI 91.6-98.0%),45.09,3,97.32,9.81,2.52,49.71
Anambra,south east,skilled_birth,Skilled birth attendance,213,196,93.04,2.16,88.82,97.26,Report,93.0% (95% CI 88.8-97.3%),93.04,88.82,97.26,93.0% (95% CI 88.8-97.3%),45.09,4,97.32,9.81,4.28,47.95
Ekiti,south west,skilled_birth,Skilled birth attendance,111,99,92.78,2.52,87.83,97.72,Report,92.8% (95% CI 87.8-97.7%),92.78,87.83,97.72,92.8% (95% CI 87.8-97.7%),45.09,5,97.32,9.81,4.54,47.69
Edo,south south,skilled_birth,Skilled birth attendance,158,146,92.51,2.27,88.07,96.96,Report,92.5% (95% CI 88.1-97.0%),92.51,88.07,96.96,92.5% (95% CI 88.1-97.0%),45.09,6,97.32,9.81,4.81,47.42
Osun,south west,skilled_birth,Skilled birth attendance,149,137,91.54,2.09,87.44,95.64,Report,91.5% (95% CI 87.4-95.6%),91.54,87.44,95.64,91.5% (95% CI 87.4-95.6%),45.09,7,97.32,9.81,5.78,46.45
Rivers,south south,skilled_birth,Skilled birth attendance,196,175,91.09,2.98,85.26,96.93,Report,91.1% (95% CI 85.3-96.9%),91.09,85.26,96.93,91.1% (95% CI 85.3-96.9%),45.09,8,97.32,9.81,6.23,46
Lagos,south west,skilled_birth,Skilled birth attendance,177,155,86.23,6.02,74.43,98.04,Report,86.2% (95% CI 74.4-98.0%),86.23,74.43,98.04,86.2% (95% CI 74.4-98.0%),45.09,9,97.32,9.81,11.09,41.14
Oyo,south west,skilled_birth,Skilled birth attendance,215,179,83.05,4.57,74.09,92.02,Report,83.0% (95% CI 74.1-92.0%),83.05,74.09,92.02,83.0% (95% CI 74.1-92.0%),45.09,10,97.32,9.81,14.27,37.96
Ogun,south west,skilled_birth,Skilled birth attendance,206,167,82.86,3.5,76.01,89.72,Report,82.9% (95% CI 76.0-89.7%),82.86,76.01,89.72,82.9% (95% CI 76.0-89.7%),45.09,11,97.32,9.81,14.46,37.77
Federal Capital Territory,north central,skilled_birth,Skilled birth attendance,167,138,82.58,3.95,74.84,90.31,Report,82.6% (95% CI 74.8-90.3%),82.58,74.84,90.31,82.6% (95% CI 74.8-90.3%),45.09,12,97.32,9.81,14.74,37.49
Delta,south south,skilled_birth,Skilled birth attendance,205,160,81.23,5.2,71.05,91.41,Report,81.2% (95% CI 71.0-91.4%),81.23,71.05,91.41,81.2% (95% CI 71.0-91.4%),45.09,13,97.32,9.81,16.09,36.14
Ondo,south west,skilled_birth,Skilled birth attendance,134,93,76.11,5.79,64.77,87.45,Report,76.1% (95% CI 64.8-87.5%),76.11,64.77,87.45,76.1% (95% CI 64.8-87.5%),45.09,14,97.32,9.81,21.21,31.02
Ebonyi,south east,skilled_birth,Skilled birth attendance,332,250,73.04,3.27,66.64,79.44,Report,73.0% (95% CI 66.6-79.4%),73.04,66.64,79.44,73.0% (95% CI 66.6-79.4%),45.09,15,97.32,9.81,24.28,27.95
Nasarawa,north central,skilled_birth,Skilled birth attendance,294,196,68.02,4.49,59.22,76.82,Report,68.0% (95% CI 59.2-76.8%),68.02,59.22,76.82,68.0% (95% CI 59.2-76.8%),45.09,16,97.32,9.81,29.3,22.93
Benue,north central,skilled_birth,Skilled birth attendance,218,138,66.59,5.01,56.78,76.41,Report,66.6% (95% CI 56.8-76.4%),66.59,56.78,76.41,66.6% (95% CI 56.8-76.4%),45.09,17,97.32,9.81,30.73,21.5
Kogi,north central,skilled_birth,Skilled birth attendance,270,169,60.65,4.7,51.44,69.86,Report,60.6% (95% CI 51.4-69.9%),60.65,51.44,69.86,60.6% (95% CI 51.4-69.9%),45.09,18,97.32,9.81,36.67,15.56
Bayelsa,south south,skilled_birth,Skilled birth attendance,171,85,55.98,6.78,42.68,69.27,Report,56.0% (95% CI 42.7-69.3%),55.98,42.68,69.27,56.0% (95% CI 42.7-69.3%),45.09,19,97.32,9.81,41.34,10.89
Cross River,south south,skilled_birth,Skilled birth attendance,148,83,55.45,4.96,45.72,65.18,Report,55.5% (95% CI 45.7-65.2%),55.45,45.72,65.18,55.5% (95% CI 45.7-65.2%),45.09,20,97.32,9.81,41.87,10.36
Kwara,north central,skilled_birth,Skilled birth attendance,227,119,54.4,8.66,37.43,71.38,Report,54.4% (95% CI 37.4-71.4%),54.4,37.43,71.38,54.4% (95% CI 37.4-71.4%),45.09,21,97.32,9.81,42.92,9.31
Akwa Ibom,south south,skilled_birth,Skilled birth attendance,149,79,51.23,5.95,39.56,62.89,Report,51.2% (95% CI 39.6-62.9%),51.23,39.56,62.89,51.2% (95% CI 39.6-62.9%),45.09,22,97.32,9.81,46.09,6.14
Plateau,north central,skilled_birth,Skilled birth attendance,336,161,49.89,5.05,40,59.78,Report,49.9% (95% CI 40.0-59.8%),49.89,40,59.78,49.9% (95% CI 40.0-59.8%),45.09,23,97.32,9.81,47.43,4.8
Borno,north east,skilled_birth,Skilled birth attendance,347,124,36.66,3.65,29.5,43.81,Report,36.7% (95% CI 29.5-43.8%),36.66,29.5,43.81,36.7% (95% CI 29.5-43.8%),45.09,24,97.32,9.81,60.66,-8.43
Gombe,north east,skilled_birth,Skilled birth attendance,391,133,36.42,4.09,28.41,44.44,Report,36.4% (95% CI 28.4-44.4%),36.42,28.41,44.44,36.4% (95% CI 28.4-44.4%),45.09,25,97.32,9.81,60.9,-8.67
Kano,north west,skilled_birth,Skilled birth attendance,575,206,35.66,3.17,29.44,41.87,Report,35.7% (95% CI 29.4-41.9%),35.66,29.44,41.87,35.7% (95% CI 29.4-41.9%),45.09,26,97.32,9.81,61.66,-9.43
Kaduna,north west,skilled_birth,Skilled birth attendance,504,178,35.03,4.79,25.63,44.43,Report,35.0% (95% CI 25.6-44.4%),35.03,25.63,44.43,35.0% (95% CI 25.6-44.4%),45.09,27,97.32,9.81,62.29,-10.06
Yobe,north east,skilled_birth,Skilled birth attendance,458,153,34.44,4.71,25.22,43.67,Report,34.4% (95% CI 25.2-43.7%),34.44,25.22,43.67,34.4% (95% CI 25.2-43.7%),45.09,28,97.32,9.81,62.88,-10.65
Taraba,north east,skilled_birth,Skilled birth attendance,268,88,34.02,5.68,22.89,45.15,Report,34.0% (95% CI 22.9-45.1%),34.02,22.89,45.15,34.0% (95% CI 22.9-45.1%),45.09,29,97.32,9.81,63.3,-11.07
Niger,north central,skilled_birth,Skilled birth attendance,368,133,33.77,4.81,24.35,43.2,Report,33.8% (95% CI 24.4-43.2%),33.77,24.35,43.2,33.8% (95% CI 24.4-43.2%),45.09,30,97.32,9.81,63.55,-11.32
Bauchi,north east,skilled_birth,Skilled birth attendance,456,126,27.65,3.76,20.27,35.02,Report,27.6% (95% CI 20.3-35.0%),27.65,20.27,35.02,27.6% (95% CI 20.3-35.0%),45.09,31,97.32,9.81,69.67,-17.44
Adamawa,north east,skilled_birth,Skilled birth attendance,351,73,23.62,4.51,14.78,32.45,Report,23.6% (95% CI 14.8-32.5%),23.62,14.78,32.45,23.6% (95% CI 14.8-32.5%),45.09,32,97.32,9.81,73.7,-21.47
Jigawa,north west,skilled_birth,Skilled birth attendance,523,123,23.58,2.48,18.72,28.45,Report,23.6% (95% CI 18.7-28.4%),23.58,18.72,28.45,23.6% (95% CI 18.7-28.4%),45.09,33,97.32,9.81,73.74,-21.51
Katsina,north west,skilled_birth,Skilled birth attendance,420,83,18.56,3.13,12.43,24.7,Report,18.6% (95% CI 12.4-24.7%),18.56,12.43,24.7,18.6% (95% CI 12.4-24.7%),45.09,34,97.32,9.81,78.76,-26.53
Sokoto,north west,skilled_birth,Skilled birth attendance,441,55,12.41,3.06,6.42,18.41,Report,12.4% (95% CI 6.4-18.4%),12.41,6.42,18.41,12.4% (95% CI 6.4-18.4%),45.09,35,97.32,9.81,84.91,-32.68
Zamfara,north west,skilled_birth,Skilled birth attendance,292,38,12.36,4.05,4.42,20.3,Report,12.4% (95% CI 4.4-20.3%),12.36,4.42,20.3,12.4% (95% CI 4.4-20.3%),45.09,36,97.32,9.81,84.96,-32.73
Kebbi,north west,skilled_birth,Skilled birth attendance,504,62,9.81,1.69,6.49,13.13,Report,9.8% (95% CI 6.5-13.1%),9.81,6.49,13.13,9.8% (95% CI 6.5-13.1%),45.09,37,97.32,9.81,87.51,-35.28
