equity_variable,equity_dimension,equity_category,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci
residence,Residence,urban,facility_delivery,Health facility delivery,3982,2705,66.16,1.41,63.4,68.92,Report,66.2% (95% CI 63.4-68.9%)
residence,Residence,urban,mother_pnc_2days,Maternal PNC within 2 days,4012,2583,63.34,1.37,60.66,66.03,Report,63.3% (95% CI 60.7-66.0%)
residence,Residence,urban,newborn_pnc_2days,Newborn PNC within 2 days,4012,2551,62.01,1.3,59.46,64.56,Report,62.0% (95% CI 59.5-64.6%)
residence,Residence,urban,paired_pnc_2days,Mother and newborn both received PNC within 2 days,4012,2362,57.24,1.35,54.6,59.89,Report,57.2% (95% CI 54.6-59.9%)
residence,Residence,urban,complete_continuum,Complete continuum,3808,1715,43.34,1.32,40.76,45.92,Report,43.3% (95% CI 40.8-45.9%)
wealth_quintile,Wealth quintile,middle,anc_4plus,Four or more ANC contacts,1954,1104,54.74,1.75,51.31,58.17,Report,54.7% (95% CI 51.3-58.2%)
wealth_quintile,Wealth quintile,middle,anc_8plus,Eight or more ANC contacts,1954,270,12.62,0.94,10.78,14.47,Report,12.6% (95% CI 10.8-14.5%)
wealth_quintile,Wealth quintile,middle,skilled_birth,Skilled birth attendance,2002,1011,45.81,1.71,42.45,49.17,Report,45.8% (95% CI 42.5-49.2%)
wealth_quintile,Wealth quintile,middle,facility_delivery,Health facility delivery,1989,926,41.02,1.7,37.69,44.35,Report,41.0% (95% CI 37.7-44.4%)
wealth_quintile,Wealth quintile,middle,mother_pnc_2days,Maternal PNC within 2 days,2002,958,43.02,1.77,39.56,46.49,Report,43.0% (95% CI 39.6-46.5%)
wealth_quintile,Wealth quintile,middle,newborn_pnc_2days,Newborn PNC within 2 days,2002,964,42.84,1.76,39.4,46.28,Report,42.8% (95% CI 39.4-46.3%)
wealth_quintile,Wealth quintile,middle,paired_pnc_2days,Mother and newborn both received PNC within 2 days,2002,879,38.86,1.71,35.51,42.21,Report,38.9% (95% CI 35.5-42.2%)
wealth_quintile,Wealth quintile,middle,complete_continuum,Complete continuum,1954,505,22.61,1.23,20.2,25.02,Report,22.6% (95% CI 20.2-25.0%)
wealth_quintile,Wealth quintile,poorer,anc_4plus,Four or more ANC contacts,2117,869,40.92,1.67,37.65,44.19,Report,40.9% (95% CI 37.6-44.2%)
wealth_quintile,Wealth quintile,poorer,anc_8plus,Eight or more ANC contacts,2117,125,5.46,0.64,4.21,6.71,Report,5.5% (95% CI 4.2-6.7%)
wealth_quintile,Wealth quintile,poorer,skilled_birth,Skilled birth attendance,2133,610,25.04,1.49,22.12,27.96,Report,25.0% (95% CI 22.1-28.0%)
wealth_quintile,Wealth quintile,poorer,facility_delivery,Health facility delivery,2121,609,25.22,1.58,22.13,28.32,Report,25.2% (95% CI 22.1-28.3%)
wealth_quintile,Wealth quintile,poorer,mother_pnc_2days,Maternal PNC within 2 days,2133,611,25.45,1.42,22.66,28.25,Report,25.4% (95% CI 22.7-28.2%)
wealth_quintile,Wealth quintile,poorer,newborn_pnc_2days,Newborn PNC within 2 days,2133,634,25.86,1.29,23.32,28.39,Report,25.9% (95% CI 23.3-28.4%)
wealth_quintile,Wealth quintile,poorer,paired_pnc_2days,Mother and newborn both received PNC within 2 days,2133,551,22.21,1.25,19.76,24.65,Report,22.2% (95% CI 19.8-24.6%)
wealth_quintile,Wealth quintile,poorer,complete_continuum,Complete continuum,2117,237,9.56,0.83,7.94,11.18,Report,9.6% (95% CI 7.9-11.2%)
wealth_quintile,Wealth quintile,poorest,anc_4plus,Four or more ANC contacts,2755,746,27.54,1.5,24.59,30.49,Report,27.5% (95% CI 24.6-30.5%)
