equity_variable,equity_dimension,equity_category,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate,highest_percent,lowest_percent,rank_high_to_low,gap_to_best_pp,gap_above_lowest_pp
zone,Zone,south south,mother_pnc_2days,Maternal PNC within 2 days,1027,659,66.79,2.13,62.61,70.97,Report,66.8% (95% CI 62.6-71.0%),66.79,62.61,70.97,66.8% (95% CI 62.6-71.0%),78.51,24.89,2,11.72,41.9
zone,Zone,south south,newborn_pnc_2days,Newborn PNC within 2 days,1027,665,66.87,1.97,63,70.74,Report,66.9% (95% CI 63.0-70.7%),66.87,63,70.74,66.9% (95% CI 63.0-70.7%),79.13,23.89,2,12.26,42.98
zone,Zone,south south,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1027,602,61.32,2.04,57.32,65.32,Report,61.3% (95% CI 57.3-65.3%),61.32,57.32,65.32,61.3% (95% CI 57.3-65.3%),74.37,19.81,2,13.05,41.51
zone,Zone,south south,complete_continuum,Complete continuum,912,397,46.16,2.17,41.91,50.4,Report,46.2% (95% CI 41.9-50.4%),46.16,41.91,50.4,46.2% (95% CI 41.9-50.4%),63.6,10.35,2,17.44,35.81
zone,Zone,south west,anc_4plus,Four or more ANC contacts,900,768,88.01,1.41,85.24,90.77,Report,88.0% (95% CI 85.2-90.8%),88.01,85.24,90.77,88.0% (95% CI 85.2-90.8%),88.01,40.77,1,0,47.24
zone,Zone,south west,anc_8plus,Eight or more ANC contacts,900,568,68.82,1.89,65.13,72.52,Report,68.8% (95% CI 65.1-72.5%),68.82,65.13,72.52,68.8% (95% CI 65.1-72.5%),68.82,3.98,1,0,64.84
zone,Zone,south west,skilled_birth,Skilled birth attendance,992,830,84.71,2.16,80.46,88.95,Report,84.7% (95% CI 80.5-89.0%),84.71,80.46,88.95,84.7% (95% CI 80.5-89.0%),88.14,25.02,2,3.43,59.69
zone,Zone,south west,facility_delivery,Health facility delivery,979,807,83.35,1.89,79.64,87.05,Report,83.3% (95% CI 79.6-87.0%),83.35,79.64,87.05,83.3% (95% CI 79.6-87.0%),87.89,21.5,2,4.54,61.85
zone,Zone,south west,mother_pnc_2days,Maternal PNC within 2 days,992,764,78.51,1.73,75.12,81.9,Report,78.5% (95% CI 75.1-81.9%),78.51,75.12,81.9,78.5% (95% CI 75.1-81.9%),78.51,24.89,1,0,53.62
zone,Zone,south west,newborn_pnc_2days,Newborn PNC within 2 days,992,777,79.13,1.7,75.79,82.46,Report,79.1% (95% CI 75.8-82.5%),79.13,75.79,82.46,79.1% (95% CI 75.8-82.5%),79.13,23.89,1,0,55.24
zone,Zone,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,992,724,74.37,1.88,70.68,78.05,Report,74.4% (95% CI 70.7-78.0%),74.37,70.68,78.05,74.4% (95% CI 70.7-78.0%),74.37,19.81,1,0,54.56
zone,Zone,south west,complete_continuum,Complete continuum,900,555,63.6,2.23,59.23,67.97,Report,63.6% (95% CI 59.2-68.0%),63.6,59.23,67.97,63.6% (95% CI 59.2-68.0%),63.6,10.35,1,0,53.25
residence,Residence,rural,anc_4plus,Four or more ANC contacts,6428,2702,41.83,1.25,39.38,44.28,Report,41.8% (95% CI 39.4-44.3%),41.83,39.38,44.28,41.8% (95% CI 39.4-44.3%),73.54,41.83,2,31.71,0
residence,Residence,rural,anc_8plus,Eight or more ANC contacts,6428,582,8.26,0.55,7.18,9.34,Report,8.3% (95% CI 7.2-9.3%),8.26,7.18,9.34,8.3% (95% CI 7.2-9.3%),31.13,8.26,2,22.87,0
residence,Residence,rural,skilled_birth,Skilled birth attendance,6510,2149,30.03,1.13,27.83,32.24,Report,30.0% (95% CI 27.8-32.2%),30.03,27.83,32.24,30.0% (95% CI 27.8-32.2%),69.67,30.03,2,39.64,0
residence,Residence,rural,facility_delivery,Health facility delivery,6478,2089,28.74,1.1,26.58,30.9,Report,28.7% (95% CI 26.6-30.9%),28.74,26.58,30.9,28.7% (95% CI 26.6-30.9%),66.16,28.74,2,37.42,0
residence,Residence,rural,mother_pnc_2days,Maternal PNC within 2 days,6510,2164,30.33,0.95,28.47,32.19,Report,30.3% (95% CI 28.5-32.2%),30.33,28.47,32.19,30.3% (95% CI 28.5-32.2%),63.34,30.33,2,33.01,0
residence,Residence,rural,newborn_pnc_2days,Newborn PNC within 2 days,6510,2214,30.18,0.95,28.31,32.04,Report,30.2% (95% CI 28.3-32.0%),30.18,28.31,32.04,30.2% (95% CI 28.3-32.0%),62.01,30.18,2,31.83,0
residence,Residence,rural,paired_pnc_2days,Mother and newborn both received PNC within 2 days,6510,1956,26.45,0.9,24.68,28.21,Report,26.4% (95% CI 24.7-28.2%),26.45,24.68,28.21,26.4% (95% CI 24.7-28.2%),57.24,26.45,2,30.79,0
residence,Residence,rural,complete_continuum,Complete continuum,6428,987,13.34,0.65,12.06,14.62,Report,13.3% (95% CI 12.1-14.6%),13.34,12.06,14.62,13.3% (95% CI 12.1-14.6%),43.34,13.34,2,30,0
residence,Residence,urban,anc_4plus,Four or more ANC contacts,3808,2823,73.54,1.23,71.13,75.96,Report,73.5% (95% CI 71.1-76.0%),73.54,71.13,75.96,73.5% (95% CI 71.1-76.0%),73.54,41.83,1,0,31.71
residence,Residence,urban,anc_8plus,Eight or more ANC contacts,3808,1209,31.13,1.15,28.87,33.38,Report,31.1% (95% CI 28.9-33.4%),31.13,28.87,33.38,31.1% (95% CI 28.9-33.4%),31.13,8.26,1,0,22.87
residence,Residence,urban,skilled_birth,Skilled birth attendance,4012,2879,69.67,1.46,66.82,72.52,Report,69.7% (95% CI 66.8-72.5%),69.67,66.82,72.52,69.7% (95% CI 66.8-72.5%),69.67,30.03,1,0,39.64
residence,Residence,urban,facility_delivery,Health facility delivery,3982,2705,66.16,1.41,63.4,68.92,Report,66.2% (95% CI 63.4-68.9%),66.16,63.4,68.92,66.2% (95% CI 63.4-68.9%),66.16,28.74,1,0,37.42
residence,Residence,urban,mother_pnc_2days,Maternal PNC within 2 days,4012,2583,63.34,1.37,60.66,66.03,Report,63.3% (95% CI 60.7-66.0%),63.34,60.66,66.03,63.3% (95% CI 60.7-66.0%),63.34,30.33,1,0,33.01
