state,zone,indicator,state_rank,public_weighted_percent,national_percent,difference_from_national_pp,gap_from_best_pp,reporting_status
Kwara,north central,Mother and newborn both received PNC within 2 days,18,53.47,38.14,15.33,29.74,Report
Plateau,north central,Mother and newborn both received PNC within 2 days,19,52.64,38.14,14.5,30.57,Report
Kogi,north central,Mother and newborn both received PNC within 2 days,20,51.08,38.14,12.94,32.13,Report
Benue,north central,Mother and newborn both received PNC within 2 days,21,50.96,38.14,12.82,32.25,Report
Rivers,south south,Mother and newborn both received PNC within 2 days,22,50.04,38.14,11.9,33.17,Report
Adamawa,north east,Mother and newborn both received PNC within 2 days,23,46.31,38.14,8.17,36.9,Report
Gombe,north east,Mother and newborn both received PNC within 2 days,24,42.21,38.14,4.07,41,Report
Borno,north east,Mother and newborn both received PNC within 2 days,25,41.5,38.14,3.36,41.71,Report
Jigawa,north west,Mother and newborn both received PNC within 2 days,26,38.48,38.14,0.34,44.73,Report
Bayelsa,south south,Mother and newborn both received PNC within 2 days,27,34.76,38.14,-3.38,48.45,Report
Taraba,north east,Mother and newborn both received PNC within 2 days,28,30.82,38.14,-7.32,52.39,Report
Niger,north central,Mother and newborn both received PNC within 2 days,29,30.54,38.14,-7.6,52.67,Report
Yobe,north east,Mother and newborn both received PNC within 2 days,30,29.06,38.14,-9.08,54.15,Report
Kano,north west,Mother and newborn both received PNC within 2 days,31,25.3,38.14,-12.84,57.91,Report
Kaduna,north west,Mother and newborn both received PNC within 2 days,32,19.75,38.14,-18.39,63.46,Report
Bauchi,north east,Mother and newborn both received PNC within 2 days,33,18.18,38.14,-19.96,65.03,Report
Katsina,north west,Mother and newborn both received PNC within 2 days,34,13.03,38.14,-25.11,70.18,Report
Zamfara,north west,Mother and newborn both received PNC within 2 days,35,10.97,38.14,-27.17,72.24,Report
Kebbi,north west,Mother and newborn both received PNC within 2 days,36,9.97,38.14,-28.17,73.24,Report
