state,zone,indicator,unweighted_n,public_weighted_percent,public_ci_low,public_ci_high,reporting_status,public_estimate
Ebonyi,south east,Skilled birth attendance,332,73.04,66.64,79.44,Report,73.0% (95% CI 66.6-79.4%)
Ebonyi,south east,Health facility delivery,330,79.21,72.31,86.11,Report,79.2% (95% CI 72.3-86.1%)
Ebonyi,south east,Maternal PNC within 2 days,332,55.93,49.62,62.24,Report,55.9% (95% CI 49.6-62.2%)
Ebonyi,south east,Newborn PNC within 2 days,332,56.2,50.07,62.33,Report,56.2% (95% CI 50.1-62.3%)
Ebonyi,south east,Mother and newborn both received PNC within 2 days,332,54,47.96,60.04,Report,54.0% (95% CI 48.0-60.0%)
Ebonyi,south east,Complete continuum,332,28.99,23.87,34.1,Report,29.0% (95% CI 23.9-34.1%)
Edo,south south,Four or more ANC contacts,119,84.22,77.77,90.67,Report,84.2% (95% CI 77.8-90.7%)
Edo,south south,Eight or more ANC contacts,119,42.29,31.61,52.98,Report,42.3% (95% CI 31.6-53.0%)
Edo,south south,Skilled birth attendance,158,92.51,88.07,96.96,Report,92.5% (95% CI 88.1-97.0%)
Edo,south south,Health facility delivery,158,90.59,85.93,95.25,Report,90.6% (95% CI 85.9-95.2%)
Edo,south south,Maternal PNC within 2 days,158,86.14,79.87,92.41,Report,86.1% (95% CI 79.9-92.4%)
Edo,south south,Newborn PNC within 2 days,158,86.82,80.2,93.44,Report,86.8% (95% CI 80.2-93.4%)
Edo,south south,Mother and newborn both received PNC within 2 days,158,80.65,72.82,88.49,Report,80.7% (95% CI 72.8-88.5%)
Edo,south south,Complete continuum,119,62.71,53.76,71.66,Report,62.7% (95% CI 53.8-71.7%)
Ekiti,south west,Four or more ANC contacts,87,82.33,73.52,91.13,Report,82.3% (95% CI 73.5-91.1%)
Ekiti,south west,Eight or more ANC contacts,87,37.12,24.64,49.59,Report,37.1% (95% CI 24.6-49.6%)
Ekiti,south west,Skilled birth attendance,111,92.78,87.83,97.72,Report,92.8% (95% CI 87.8-97.7%)
Ekiti,south west,Health facility delivery,106,85.45,79.13,91.77,Report,85.5% (95% CI 79.1-91.8%)
Ekiti,south west,Maternal PNC within 2 days,111,77.48,70.14,84.82,Report,77.5% (95% CI 70.1-84.8%)
Ekiti,south west,Newborn PNC within 2 days,111,78.39,70.35,86.44,Report,78.4% (95% CI 70.3-86.4%)
Ekiti,south west,Mother and newborn both received PNC within 2 days,111,71.63,63.69,79.56,Report,71.6% (95% CI 63.7-79.6%)
Ekiti,south west,Complete continuum,87,55.75,47.28,64.22,Report,55.8% (95% CI 47.3-64.2%)
Enugu,south east,Four or more ANC contacts,123,78.61,70.6,86.62,Report,78.6% (95% CI 70.6-86.6%)
Enugu,south east,Eight or more ANC contacts,123,37.75,29.71,45.79,Report,37.8% (95% CI 29.7-45.8%)
Enugu,south east,Skilled birth attendance,156,96.7,93.63,99.77,Report,96.7% (95% CI 93.6-99.8%)
Enugu,south east,Health facility delivery,155,93.63,89.06,98.2,Report,93.6% (95% CI 89.1-98.2%)
Enugu,south east,Maternal PNC within 2 days,156,65.79,54.82,76.76,Report,65.8% (95% CI 54.8-76.8%)
Enugu,south east,Newborn PNC within 2 days,156,62.51,50.38,74.64,Report,62.5% (95% CI 50.4-74.6%)
Enugu,south east,Mother and newborn both received PNC within 2 days,156,59.46,47.78,71.15,Report,59.5% (95% CI 47.8-71.2%)
Enugu,south east,Complete continuum,123,48.97,37.62,60.32,Report,49.0% (95% CI 37.6-60.3%)
Federal Capital Territory,north central,Four or more ANC contacts,161,82.97,77.09,88.84,Report,83.0% (95% CI 77.1-88.8%)
Federal Capital Territory,north central,Eight or more ANC contacts,161,30.41,21.22,39.6,Report,30.4% (95% CI 21.2-39.6%)
Federal Capital Territory,north central,Skilled birth attendance,167,82.58,74.84,90.31,Report,82.6% (95% CI 74.8-90.3%)
Federal Capital Territory,north central,Health facility delivery,165,82.37,72.21,92.53,Report,82.4% (95% CI 72.2-92.5%)
Federal Capital Territory,north central,Maternal PNC within 2 days,167,82.27,73.3,91.24,Report,82.3% (95% CI 73.3-91.2%)
Federal Capital Territory,north central,Newborn PNC within 2 days,167,86.71,78.47,94.96,Report,86.7% (95% CI 78.5-95.0%)
Federal Capital Territory,north central,Mother and newborn both received PNC within 2 days,167,80.29,71.49,89.08,Report,80.3% (95% CI 71.5-89.1%)
Federal Capital Territory,north central,Complete continuum,161,62.97,54.26,71.68,Report,63.0% (95% CI 54.3-71.7%)
Gombe,north east,Four or more ANC contacts,391,39.1,29.06,49.15,Report,39.1% (95% CI 29.1-49.1%)
Gombe,north east,Eight or more ANC contacts,391,1.1,-0.02,2.21,Report,1.1% (95% CI -0.0-2.2%)
Gombe,north east,Skilled birth attendance,391,36.42,28.41,44.44,Report,36.4% (95% CI 28.4-44.4%)
Gombe,north east,Health facility delivery,391,47.16,36.72,57.61,Report,47.2% (95% CI 36.7-57.6%)
Gombe,north east,Maternal PNC within 2 days,391,44.92,35.72,54.12,Report,44.9% (95% CI 35.7-54.1%)
Gombe,north east,Newborn PNC within 2 days,391,46.49,37.02,55.97,Report,46.5% (95% CI 37.0-56.0%)
Gombe,north east,Mother and newborn both received PNC within 2 days,391,42.21,32.83,51.59,Report,42.2% (95% CI 32.8-51.6%)
Gombe,north east,Complete continuum,391,17.73,11.45,24,Report,17.7% (95% CI 11.4-24.0%)
Imo,south east,Four or more ANC contacts,230,87.33,83.51,91.16,Report,87.3% (95% CI 83.5-91.2%)
Imo,south east,Eight or more ANC contacts,230,49.17,43.86,54.47,Report,49.2% (95% CI 43.9-54.5%)
Imo,south east,Skilled birth attendance,238,97.32,94.73,99.9,Report,97.3% (95% CI 94.7-99.9%)
Imo,south east,Health facility delivery,238,96.84,94.65,99.02,Report,96.8% (95% CI 94.7-99.0%)
Imo,south east,Maternal PNC within 2 days,238,61.67,53.01,70.33,Report,61.7% (95% CI 53.0-70.3%)
Imo,south east,Newborn PNC within 2 days,238,59.52,50.07,68.98,Report,59.5% (95% CI 50.1-69.0%)
Imo,south east,Mother and newborn both received PNC within 2 days,238,55.92,46.92,64.93,Report,55.9% (95% CI 46.9-64.9%)
Imo,south east,Complete continuum,230,51.04,42.49,59.58,Report,51.0% (95% CI 42.5-59.6%)
Jigawa,north west,Four or more ANC contacts,523,37.66,32.12,43.2,Report,37.7% (95% CI 32.1-43.2%)
Jigawa,north west,Eight or more ANC contacts,523,1.3,0.37,2.23,Report,1.3% (95% CI 0.4-2.2%)
Jigawa,north west,Skilled birth attendance,523,23.58,18.72,28.45,Report,23.6% (95% CI 18.7-28.4%)
Jigawa,north west,Health facility delivery,523,20.85,16.12,25.58,Report,20.9% (95% CI 16.1-25.6%)
Jigawa,north west,Maternal PNC within 2 days,523,43.86,39.42,48.3,Report,43.9% (95% CI 39.4-48.3%)
